Growth_Firm;question_2_row_1_transformed;question_2_row_2_transformed;question_3_row_1;question_3_row_2;question_3_row_3;question_3_row_4;question_3_row_5;question_3_row_6;question_3_row_7;question_3_row_8;question_3_row_9;question_3_row_10;question_3_row_11;question_3_row_12;question_3_row_13;question_3_row_14;question_3_row_15;question_3_row_16;question_4_row_1;question_4_row_2;question_4_row_3;question_4_row_4;question_5_row_1;question_5_row_2;question_5_row_3;question_5_row_4;question_5_row_5;question_5_row_6;question_5_row_7;question_5_row_8;question_5_row_9;question_5_row_10;question_6_row_1;question_6_row_2;question_7_row_1
0;35,1351351351351;50,7509391319659;4;5;5;4;3;3;4;4;4;2;2;2;2;4;4;3;4;4;4;4;1;1;2;4;2;4;2;3;2;5;4;5;1
0;23,0180426462548;51,182200341316;5;4;4;4;4;4;4;5;5;4;2;4;2;4;4;3;4;3;3;4;4;4;2;3;4;3;3;3;4;3;5;4;1
0;86,6404715127701;62,9326385264931;3;4;4;4;4;3;4;5;3;3;3;5;3;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4; ; ;5;3;1
0;17,6470588235294;39,1304347826087;3;4;5;4;4;4;5;5;3;3;4;5;4;4;5;3;4;3;3;3;3;2;3;3;3;4;4;4;3;3;3;3;1
0;60;32,8021248339973;4;4;4;4;3;4;4;4;5;5;2;3;1;2;4;2;4;2;2;2;2;2;2;4;2;4;2;3;3;4;5;2;2
0;-1,2954966070327;17,7106351558863;5;5;5;5;5;5;5;5;4;4;4;4;4;5;5;4;4;4;4;4;5;4;4;5;5;5;5;5;5;5;3;5;1
0;12,2754491017964;64,6231446971593;4;5;5;5;4;5;3;4;5;4;3;5;3;4;3;2;4;4;4;3;4;5;3;4;5;5;5;5; ; ;5;4;2
0;66,6666666666667;68,6814731515322;3;3;4;4;3;3;3;3;3;3;3;3;3;3;4;3;3;3;4;4;4;4;2;3;2;4;3;2; ; ;5;3;2
0;9,375;34,453781512605;5;5;5;4;3;4;4;3;5;5;3;4;4;3;4;3;4;4;3;5;5;5;4;3;4;3;4;3;4;3;4;4;2
0;506,060606060606;689,265982636148;4;5;5;5;5;5;5;4;4;4;3;3;3;3;4;4;4;5;4;3;3;4;5;4;5;5;4;4;4;4;5;5;1
0;26,984126984127;29,9241243114022;4;2;4;4;4;4;4;2;4;4;2;2;2;4;4;2;4;4;4;4;4;2;4;2;4;5;5;5;4;4;2;4;1
0;20;16,5501165501166;4;5;4;4;3;4;4;3;3;3;3;3;3;2;2;2;4;2;3;2;4;3;3;4;5;4;4;3; ; ;2;2;1
0;16,0714285714286;49,4470459300588;3;3;4;4;4;4;4;4;5;3;4;4;4;4;5;4;4;4;4;4;3;3;3;4;4;4;4;3;4;5;5;4;1
0;81,8181818181818;28,7995878413189;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;3;2;4;4;3;4;4;5;5;1
0;50;28,0409731113956;5;4;4;3;4;3;4;4;4;4;3;4;4;3;4;4;5;5;4;5;3;2;2;3;2;3;3;3; ; ;3;3;1
0;76,4705882352941;60,6425702811245;3;4;5;3;3;3;4;3;3;3;2;3;2;2;4;3;2;2;2;2;3;3;3;3;3;4;3;2;3;2;4;2;2
0;96,8503937007874;326,495431594184;5;5;5;5;3;4;3;4;4;3;5;5;4;3;4;3;4;4;3;3;4;4;3;4;4;4;4;4;3;4;5;5;2
0;247,826086956522;215,488597190469;4;4;5;4;4;4;3;4;4;3;4;2;3;3;4;2;3;3;2;1;3;4;3;4;2;4;4;5;4;4;4;2;1
0;31,5789473684211;90,9611712285169;5;5;5;5;4;4;4;4;4;3;3;5;4;3;4;3;4;4;3;4;4;4;3;4;3;3;4;4; ; ;4;4;2
0;42,8571428571429;48,720999405116;2;4;4;1;4;4;4;2;3;3;5;3;3;2;4;1;2;1;1;2;1;1;4;2;2;2;4;4; ; ;2;1;1
0;-1,9607843137255;-9,63311042833905;4;4;5;4;4;5;4;3;3;3;2;3;2;2;4;3;4;3;3;3;2;2;3;3;2;2;3;2;2;3;3;3;1
0;6,38297872340425;67,2054397503065;3;4;4;4;4;3;4;4;4;3;4;3;2;3;3;3;2;2;1;1;3;4;3;3;3;5;3;3;4;5;2;4;1
0;100;85,1851851851852;4;4;5;5;4;4;5;4;3;3;2;3;2;4;4;3;1;1;1;1;2;3;2;3;2;3;3;2;4;4;3;3;1
0;76,4705882352941;121,141088014153;4;5;4;5;4;4;4;5;4;4;3;4;3;4;4;4;4;3;4;3;4;3;2;4;4;5;4;4; ; ;4;5;2
0;7,14285714285714;455,555555555556;5;5;5;5;5;5;5;5;5;4;5;3;2;5;5;5;5;5;4;5;5;5;4;5;5;4;5;5;5;5;5;3;2
0;311,764705882353;599,790062981106;2;4;4;4;4;4;4;3;3;2;3;4;3;3;3;2;3;4;3;4;4;5;3;3;2;5;4;3;5;5;3;3;1
0;25;81,7190623296384;2;4;3;4;3;2;2;4;3;4;4;4;3;4;3;3;2;4;3;3;4;3;3;4;3;2;3;3; ; ;4;3;1
0;185,714285714286;452,486187845304;4;5;4;4;4;4;5;5;4;4;1;3;1;4;4;5;5;4;3;1;4;4;3;4;4;5;5;3;4;5;4;4;2
0;426,315789473684;47,5796930342385;4;3;3;4;3;2;3;2;2;2;4;4;4;4;3;3;3;1;1;2;3;4;5;5;5;3;3;4; ; ;4;4;1
0;57,8947368421053;53,2958610117527;4;4;4;4;4;4;4;4;4;4;2;4;3;2;3;3;2;4;2;4;1;3;2;4;3;2;4;1; ; ;4;3;1
0;150;140,403758111749;4;4;3;4;3;3;4;4;4;4;4;4;4;4;3;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;3;4;2
0;35,2941176470588;118,871595330739;4;4;4;2;2;4;4;2;2;2;1;4;2;5;4;3;3;4;3;4;2;3;4;4;2;5;5;4;4;4;4;3;2
0;180,898876404494;295,041970444066;4;4;4;4;4;4;4;5;4;4;2;4;4;4;4;4;4;4;4;4;2;4;2;4;4;4;4;4;4;5;2;4;1
0;196,296296296296;245,065562456867;4;4;4;3;2;5;3;3;3;3;4;4;4;2;4;2;2;4;3;3;3;4;2;2;5;5;4;3; ; ;3;4;2
0;1251,35135135135;873,709834469328;4;4;5;4;4;4;4;4;4;3;4;3;4;4;4;4;3;3;3;3;3;3;4;5;3;4;4;4; ; ;4;4;2
0;-57,6271186440678;-1,60247399493956;5;5;5;4;3;3;4;5;4;4;5;2;5;4;4;3;2;2;3;3;5;5;4;4;4;5;4;3; ; ;5;5;2
0;170,27027027027;2035,92233009709;3;4;3;4;4;4;5;4;4;4;3;4;3;5;5;5;4;5;5;5;4;4;3;4;4;3;4;2;3;4;4;4;2
0;566,666666666667;5449,38956714761;4;5;4;4;3;4;5;4;4;2;5;4;2;5;5;3;2;1;1;1;4;5;4;5;3;4;4;4;4;4;4;5;2
0;172,727272727273;252,609308885755;5;5;5;4;4;3;4;4;4;4;3;5;3;4;5;3;5;4;4;4;3;4;4;3;3;3;3;2; ; ;5;3;2
0;138,095238095238;185,143997718848;4;5;4;5;3;4;4;5;5;4;2;3;2;2;5;2;4;4;4;4;4;4;2;5;2;5;5;4; ; ;4;4;1
0;354,545454545455;464,971751412429;4;5;4;4;4;4;4;4;4;3;5;4;3;3;4;4;3;4;4;3;3;4;2;4;3;4;3;3;4;4;3;3;2
0;53,8461538461539;115,05376344086;4;4;4;4;4;4;4;3;3;3;3;3;3;4;4;3;3;2;2;2;2;2;1;3;3;4;3;2;3;4;3;2;1
0;207,692307692308;332,584851951295;5;5;5;5;5;5;5;5;4;4;3;5;3;5;5;5;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;1
0;122,222222222222;171,317829457364;5;5;4;5;4;3;3;5;4;5;5;3;3;4;3;3;3;2;2;3;5;4;3;4;4;3;4;4;4;4;4;4;2
0;169,230769230769;190,556900726392;3;3;4;4;4;5;4;5;4;4;4;3;3;4;4;5;4;3;4;4;5;5;4;5;5;4;4;4;5;5;4;4;2
0;194,117647058824;176,090557702927;4;4;4;4;4;4;4;4;4;3;5;3;3;3;4;2;2;2;1;2;2;2;2;4;3;3;4;3; ; ;2;3;2
0;19,0476190476191;57,2196938353331;4;4;5;4;3;3;4;3;4;3;3;4;3;3;4;3;3;3;2;3;4;3;3;4;4;4;3;3; ; ;2;3;1
0;1150;2342,00244200244;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;3;1
0;23,0769230769231;84,755685240361;4;4;4;4;4;4;4;4;4;3;3;4;3;4;4;4;4;4;4;4;4;3;3;4;4;4;4;3;3;4;5;4;2
0;66,6666666666667;185,306704707561;2;5;3;3;2;3;4;3;3;2;4;3;3;4;3;4;4;4;4;4;3;4;3;2;2;2;3;2;3;2;4;2;1
0;-6,66666666666667;-12,9829446571528;4;5;4;4;3;4;5;4;4;5;3;3;2;3;4;4;4;3;2;2;4;4;2;2;2;3;5;3; ; ;5;3;1
0;605,882352941176;2477,36608650156;5;5;5;5;5;5;5;5;5;5;4;5;3;5;5;5;5;4;5;5;4;5;5;5;5;5;5;5;5;5;5;5;1
0;60,8695652173913;161,282254858892;5;4;4;5;4;3;4;4;4;3;3;4;5;4;4;3;3;3;3;3;5;5;3;4;3;3;4;4; ; ;4;3;2
0;900;226,26427406199;4;4;5;4;4;4;4;5;4;3;4;4;5;4;4;3;4;4;4;3;3;4;3;4;4;4;4;4;3;4;3;2;2
0;366,666666666667;387,329434697856;5;5;5;5;5;5;5;5;4;4;4;4;4;5;4;4;2;2;2;2;3;4;4;4;4;4;4;3; ; ;3;3;2
0;150;702,407221664995;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;2
0;117,391304347826;120,604456210015;5;5;5;5;5;5;4;4;4;5;4;5;3;4;5;5;4;4;4;4;4;4;4;3;5;5;4;4; ; ;4;5;1
0;220;147,157686604053;3;4;5;4;4;3;4;3;4;2;4;3;3;4;4;4;4;3;4;4;4;4;3;4;4;4;4;4;4;4;3;3;2
1;580,272108843537;206,908510572998;3;3;4;4;4;5;5;5;5;5;3;4;2;4;4;4;4;4;4;3;2;2;2;3;4;4;3;5;3;4;3;3;2
1;166,666666666667;160,869565217391;4;5;4;4;5;4;4;4;4;4;3;4;3;5;4;4;4;4;4;4;3;3;3;5;4;4;5;4;4;4;4;3;2
1;400;450,660792951542;2;4;3;4;2;2;4;4;4;2;5;2;2;4;4;3;3;4;4;4;4;3;4;4;2;3;4;4;2;2;5;3;1
1;7,29613733905579;79,9006264919384;5;5;5;5;5;4;5;5;5;5;4;5;4;4;4;4;5;5;5;5;4;4;4;5;4;5;5;5; ; ;4;4;1
1;25;-78,3565399321838;4;4;3;5;4;3;3;5;4;3;3;3;3;5;4;4;4;2;2;2;3;5;4;3;3;5;5;4; ; ;4;5;1
1;372,972972972973;-13,0127578968758;5;5;5;5;4;4;4;5;5;4;3;4;3;5;5;5;5;5;5;5;5;5;2;5;4;5;4;3;4;4;5;5;2
1;284,615384615385;351,030927835052;4;5;4;5;4;5;4;5;4;3;2;4;2;4;3;4;3;4;2;2;3;5;4;5;4;4;4;4;4;5;4;5;1
1;153,521126760563;89,9335232668566;3;3;3;4;4;4;3;3;4;4;4;3;2;4;4;4;4;3;3;4;3;4;4;4;4;4;4;4; ; ;4;3;1
1;108,333333333333;83,0161054172767;5;5;5;4;5;5;4;4;5;4;5;4;3;5;5;4;5;4;5;5;3;3;5;5;4;3;3;3; ; ;4;3;2
1;200;267,421922841396;3;4;4;5;4;4;4;4;3;2;4;3;4;4;5;4;3;2;2;2;4;5;3;5;4;5;4;4;5;5;2;3;2
1;20;128,571428571429;4;5;5;4;4;5;5;5;5;5;4;5;4;5;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2
1;1076,47058823529;366,200466200466;4;4;5;5;5;5;4;5;4;4;3;4;2;5;5;4;4;5;4;4;5;5;5;5;5;4;5;4;4;5;5;5;1
1;126,415094339623;136,059533742291;4;4;4;4;4;4;4;4;4;4;3;4;3;3;4;4;4;4;3;2;3;3;4;4;4;5;5;5; ; ;4;3;2
1;334,782608695652;742,719969716015;4;4;4;4;4;4;5;4;3;3;3;4;4;4;4;3;4;3;4;4;4;4;3;4;4;4;4;4; ; ;4;3;2
1;92,3076923076923;259,712230215827;3;3;4;4;4;4;3;4;4;3;2;4;3;3;4;3;3;3;3;3;3;4;3;4;4;3;4;3;3;4;3;3;2
1;102,702702702703;133,354075917859;4;5;5;5;4;4;5;5;4;4;2;3;3;4;5;4;5;5;4;4;4;4;3;4;4;4;4;5;5;5;4;4;2
1;31,8181818181818;228,347318496899;5;5;5;5;5;5;5;5;4;4;5;5;4;5;5;5;5;3;4;4;4;4;2;4;4;5;4;4;4;4;4;2;1
1;59,0909090909091;58,2904629996043;5;5;5;5;4;5;5;5;5;4;4;4;4;4;5;4;5;4;4;4;3;3;4;5;3;4;5;4; ; ;4;4;2
1;156,410256410256;351,68138395176;4;4;4;5;5;4;4;4;5;4;3;4;3;3;4;4;2;3;3;3;4;4;3;4;3;3;4;3; ; ;4;2;2
1;120,588235294118;194,205401030598;4;5;4;5;4;2;2;5;4;4;4;5;5;5;5;5;3;2;2;4;4;5;5;5;5;5;5;3;3;5;5;5;1
1;212,5;277,643504531722;4;5;5;4;3;4;3;3;3;3;3;3;4;4;3;3;4;4;4;3;4;2;3;4;3;4;4;3;4;3;5;5;2
1;381,099656357388;296,361402326641;4;5;5;4;4;5;4;5;4;4;3;4;2;4;4;4;4;4;3;4;3;4;3;4;3;4;4;3;4;4;4;3;1
1;56,25;86,4975755315181;5;5;5;4;4;4;3;4;5;4;2;4;2;3;3;4;4;4;5;3;4;4;4;4;2;4;5;3;4;5;5;4;1
1;75,4385964912281;577,966101694915;4;4;4;3;4;4;3;4;4;4;3;4;3;2;2;3;2;3;2;3;4;4;4;4;3;3;3;2;3;2;4;4;2
1;100;121,141088014153;4;5;4;5;4;5;5;4;5;4;5;5;5;5;4;4;4;4;4;4;4;5;4;5;2;4;4;4;4;4;4;4;2
1;263,636363636364;44,9275362318841;5;4;4;5;4;5;4;4;4;4;4;5;5;5;4;4;2;2;2;2;3;5;3;4;5;4;3;4;3;4;3;3;2
1;300;347,027268663388;4;5;4;5;3;4;4;5;4;3;3;3;2;4;5;3;3;3;3;2;5;5;5;5;4;5;4;4; ; ;2;2;2
1;782,352941176471;1009,63160230803;4;4;5;4;4;5;4;4;4;3;4;4;4;4;4;4;2;3;2;2;4;4;3;3;3;5;3;4;5;5;5;4;2
1;277,358490566038;293,60217554657;4;5;4;4;4;4;4;4;4;3;3;4;4;4;4;4;3;3;3;3;4;4;3;4;3;4;4;4;4;4;4;4;1
1;41,4141414141414;43,7973563409103;4;5;4;5;4;4;4;4;3;3;3;4;3;5;5;4;4;4;4;4;4;4;3;4;4;5;4;4;4;4;4;5;1
1;117,391304347826;143,072435585805;4;4;4;3;3;5;4;3;4;3;4;4;4;3;4;3;3;3;4;4;2;4;2;3;4;4;3;4;3;4;3;2;1
1;128,571428571429;154,452926208651;4;5;5;5;4;5;5;5;5;4;5;5;5;5;5;5;5;5;4;5;5;5;4;3;3;5;4;5;5;5;4;4;1
1;376,190476190476;16103,0523309981;5;5;5;5;4;4;4;5;5;4;4;5;4;5;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;2
1;59,0909090909091;133,317778814746;4;4;4;4;5;4;4;3;3;2;2;4;4;3;4;3;3;3;2;4;3;2;2;3;2;4;3;2;2;2;5;4;2
1;263,636363636364;296,110911055095;5;5;5;5;5;4;5;5;4;4;4;4;3;4;5;5;4;4;4;3;4;5;3;5;4;5;4;3; ; ;5;4;2
1;288,888888888889;334,971726837756;4;5;4;5;4;5;5;5;4;4;2;4;2;5;5;4;4;4;4;4;4;5;3;5;4;5;4;2;4;4;3;3;1
1;191,666666666667;640,19245003701;4;5;5;5;4;5;4;5;4;4;4;4;4;4;4;4;4;3;4;4;4;5;4;4;4;4;4;4; ; ;5;4;2
1;92,3076923076923;274,376039933444;4;3;4;4;3;3;4;4;4;2;4;5;4;1;4;4;3;4;3;5;2;2;4;4;4;5;3;4;5;5;2;4;1
1;733,333333333333;2421,43217347453;5;5;5;5;4;4;5;5;5;5;4;5;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;3; ; ;5;4;2
1;66,6666666666667;184,379443428804;2;4;2;4;3;4;3;3;3;1;1;2;1;3;3;3;3;2;2;2;1;2;2;2;1;2;1;2;1;2;2;1;2
1;104;294,358946229875;4;4;4;5;4;4;4;4;3;3;2;4;3;4;4;4;4;2;4;4;4;5;4;4;4;5;2;3;5;5;4;4;2
1;233,333333333333;1577,73130462064;4;4;2;4;5;4;5;4;4;4;1;2;1;2;5;2;4;4;4;4;2;4;4;5;4;5;5;5;5;5;5;5;1
1;38,8888888888889;56,4945226917058;4;4;5;4;4;4;4;4;4;4;3;4;4;4;4;4;4;3;3;3;3;4;3;4;3;3;4;4;3;4;3;3;1
1;91,6932907348243;140,08963346316;3;4;4;4;4;3;4;4;4;3;3;4;3;4;4;4;4;3;4;3;3;3;3;4;3;4;4;3;4;4;3;3;2
1;172,727272727273;2075,09516041327;4;4;4;5;4;4;3;4;4;4;3;4;5;2;3;3;4;4;4;4;4;4;2;4;4;4;5;3;4;4;3;3;2
1;108,333333333333;96,5666360896344;4;4;4;4;3;3;4;4;4;3;3;3;2;3;2;3;3;3;4;4;4;4;4;4;2;4;3;2;4;4;4;4;2
1;366,666666666667;632,779677576942;5;5;5;4;4;5;4;4;3;3;5;4;5;4;5;5;3;3;4;5;5;5;3;5;3;4;5;4;5;5;3;1;2
1;150;154,452926208651;4;5;5;5;4;4;3;3;5;4;5;3;4;2;3;3;5;5;5;5;3;3;3;3;3;4;4;3;3;3;2;1;1
1;66,6666666666667;187,35632183908;4;4;5;5;4;4;5;5;4;4;3;4;4;4;4;4;2;2;2;2;3;2;2;4;4;5;4;3;3;4;4;4;1
1;185,714285714286;94,8444167332385;4;5;5;5;4;5;4;5;4;5;5;5;5;3;3;3;2;2;3;3;5;5;5;5;5;5;5;5;5;5;3;5;2
1;300;76,678445229682;3;5;3;5;4;5;5;5;4;4;3;3;2;5;4;3;4;4;5;5;4;3;4;4;4;5;4;5; ; ;4;3;1
1;9,375;232,778702163062;5;3;5;5;5;5;5;5;5;4;5;5;4;2;5;5;2;2;2;2;1;5;5;5;5;2;5;5;4;2;5;3;2
1;316,666666666667;284,79298137602;4;4;5;5;5;5;5;4;4;4;3;4;3;5;5;5;4;3;4;4;5;4;4;4;4;5;5;4;5;4;5;4;1
1;71,4285714285714;78,7842669845054;3;3;4;4;3;4;4;4;4;3;4;3;3;3;4;3;3;3;3;3;3;3;4;4;3;3;3;4;3;4;2;4;1
1;31,2910284463895;12,0051876086893;4;5;4;4;4;4;4;4;5;3;2;4;4;4;4;3;3;3;4;4;3;5;3;4;3;4;4;4;4;5;5;3;2
1;50;235,871025526198;4;5;4;5;5;5;5;5;5;5;4;4;5;4;5;5;5;5;4;4;2;3;2;5;5;5;5;5; ; ;3;3;2
1;981,081081081081;1159,25219811916;4;4;4;4;4;5;4;5;4;5;5;5;5;5;5;4;3;3;3;2;5;4;5;5;4;4;5;5; ; ;3;3;2
1;227,868852459016;1417,45068285281;3;4;4;3;2;4;3;3;3;3;4;4;4;3;3;3;3;2;2;2;2;2;2;2;3;3;3;4;3;3;3;4;2
1;316,666666666667;446,149645002731;5;5;5;4;4;5;5;4;5;5;5;4;3;4;1;4;3;2;2;1;2;3;2;4;4;2;2;2;3;3;2;2;2
1;566,666666666667;4996,83995922528;4;5;5;4;4;4;5;5;3;3;5;4;5;5;5;4;4;5;4;5;5;5;5;5;4;4;4;5;4;5;4;4;2
1;471,428571428571;465,770862800566;4;5;4;5;5;4;4;4;4;4;5;5;2;5;5;5;2;2;2;2;5;5;5;5;5;4;2;5;5;5;1;1;2
1;33,3333333333333;19,6888090963495;3;4;4;2;4;4;4;3;3;3;2;3;2;1;3;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;4;3;1
